CarID,Make,Model,Year,Price,DealerID
1,Mercedes Benz,GLK450,2018,64860390.473784186,1
2,Mercedes-Benz,GLE 450 AMG,2017,11780035.68743071,10
3,Mercedes-Benz,GLE 450 AMG,2020,97759321.03905594,19
4,Mercedes-Benz,GLE 450 AMG,2018,59929732.95983952,28
5,Lexus,Altima,2017,20947111.893792853,17
6,Mercedes-Benz,GLE 450 AMG,2023,52477690.08839605,29
7,Mercedes-Benz,GLE 450 AMG,2021,63101037.70013969,5
8,Mercedes Benz,ML350,2022,11288730.43766573,16
9,Ford,Fiesta,2021,68159667.07281972,24
10,Mercedes Benz,ML350,2015,12138206.677456535,21
11,Ford,Fiesta,2017,49404588.05909149,18
12,Mercedes Benz,ML350,2015,52034375.010986865,12
13,Lexus,rx350,2023,44961244.75163028,21
14,Honda,Civic,2018,38718421.223754495,10
15,Lexus,Altima,2018,51265275.891392745,13
16,Mercedes-Benz,GLE 450 AMG,2016,68810675.55257498,13
17,Lexus,Altima,2023,9604619.628813773,2
18,Lexus,Altima,2021,32390305.202869784,28
19,Mercedes-Benz,GLE 450 AMG,2019,63999347.87960096,20
20,Ford,Fiesta,2021,24202599.84278338,14
21,Ford,Fiesta,2018,92713931.65359353,8
22,Mercedes-Benz,GLE 450 AMG,2021,66769615.401851,19
23,Mercedes Benz,GLK450,2021,63670511.44092159,7
24,Honda,Civic,2021,104474149.92170022,30
25,Mercedes Benz,GLK450,2020,73156163.17584534,5
26,Lexus,GX 460,2017,50696549.05415678,3
27,Mercedes-Benz,GLE 450 AMG,2021,15155359.91122664,20
28,Mercedes-Benz,GLE 350 4MATIC,2015,74122120.02714849,16
29,Mercedes-Benz,GLE 450 AMG,2022,50050121.43593873,21
30,Lexus,GX 460,2023,69587911.76962593,19
31,Ford,Fiesta,2021,23426178.464042578,20
32,Mercedes-Benz,GLE 350 4MATIC,2022,17263593.34116592,13
33,Lexus,GX 460,2022,31294959.78807496,19
34,Mercedes Benz,ML350,2018,76627756.96711296,14
